id,category,code,number,name,frequency,coverage
252,scene,253,909,cavern-indoor-s,13,13.0
253,scene,254,903,jail-indoor-s,13,13.0
254,scene,255,918,conference_center-s,13,13.0
255,scene,256,968,moat-water-s,12,12.0
256,scene,257,941,fence-s,12,12.0
257,scene,258,974,movie_theater-outdoor-s,12,12.0
258,scene,259,958,bazaar-indoor-s,12,12.0
259,scene,260,952,wrestling_ring-indoor-s,12,12.0
260,scene,261,977,badminton_court-outdoor-s,12,12.0
261,scene,262,966,vineyard-s,12,12.0
262,scene,263,976,temple-east_asia-s,12,12.0
263,scene,264,972,podium-indoor-s,12,12.0
264,scene,265,962,kennel-outdoor-s,12,12.0
265,scene,266,937,booth-indoor-s,12,12.0
266,scene,267,961,watchtower-s,12,12.0
267,scene,268,950,hangar-indoor-s,12,12.0
268,scene,269,930,irrigation_ditch-s,12,12.0
269,scene,270,956,elevator_lobby-s,12,12.0
270,scene,271,931,dam-s,12,12.0
271,scene,272,955,crevasse-s,12,12.0
272,scene,273,970,convenience_store-outdoor-s,12,12.0
273,scene,274,935,ghost_town-s,12,12.0
274,scene,275,964,greenhouse-outdoor-s,12,12.0
275,scene,276,963,boathouse-s,12,12.0
276,scene,277,949,junk_pile-s,12,12.0
277,scene,278,973,orchard-s,12,12.0
278,scene,279,943,excavation-s,12,12.0
279,scene,280,933,ranch-s,12,12.0
280,scene,281,967,oast_house-s,12,12.0
281,scene,282,969,kiosk-outdoor-s,12,12.0
282,scene,283,936,canal-urban-s,12,12.0
283,scene,284,953,ski_slope-s,12,12.0
284,scene,285,947,sacristy-s,12,12.0
285,scene,286,975,mountain_road-s,12,12.0
286,scene,287,946,motel-s,12,12.0
287,scene,288,945,student_residence-s,12,12.0
288,scene,289,971,nuclear_power_plant-outdoor-s,12,12.0
289,scene,290,940,stadium-baseball-s,12,12.0
290,scene,291,939,boxing_ring-s,12,12.0
291,scene,292,951,flood-s,12,12.0
292,scene,293,942,airport-entrance-s,12,12.0
293,scene,294,954,fitting_room-exterior-s,12,12.0
294,scene,295,960,wine_cellar-bottle_storage-s,12,12.0
295,scene,296,948,lift_bridge-s,12,12.0
296,scene,297,965,fitting_room-interior-s,12,12.0
297,scene,298,938,hotel-outdoor-s,12,12.0
298,scene,299,934,carport-outdoor-s,12,12.0
299,scene,300,944,ice_cream_parlor-s,12,12.0
300,scene,301,959,subway_station-platform-s,12,12.0
301,scene,302,932,ranch_house-s,12,12.0
302,scene,303,957,estuary-s,12,12.0
303,scene,304,1056,baptistry-indoor-s,11,11.0
304,scene,305,1013,water_mill-s,11,11.0
305,scene,306,992,coffee_shop-s,11,11.0
306,scene,307,1007,mosque-indoor-s,11,11.0
307,scene,308,1040,canal-natural-s,11,11.0
308,scene,309,1043,downtown-s,11,11.0
309,scene,310,1003,waterfall-cascade-s,11,11.0
310,scene,311,1055,military_hut-s,11,11.0
311,scene,312,1025,hacienda-s,11,11.0
312,scene,313,1000,guardhouse-s,11,11.0
313,scene,314,1017,apse-indoor-s,11,11.0
314,scene,315,1012,pagoda-s,11,11.0
315,scene,316,1011,shed-s,11,11.0
316,scene,317,997,chalet-s,11,11.0
317,scene,318,1009,topiary_garden-s,11,11.0
318,scene,319,1034,oasis-s,11,11.0
319,scene,320,1058,library-outdoor-s,11,11.0
320,scene,321,1004,general_store-outdoor-s,11,11.0
321,scene,322,1033,bank-indoor-s,11,11.0
322,scene,323,1021,manufactured_home-s,11,11.0
323,scene,324,1028,dugout-s,11,11.0
324,scene,325,1052,bog-s,11,11.0
325,scene,326,1027,workshop-s,11,11.0
326,scene,327,1015,cloister-outdoor-s,11,11.0
327,scene,328,1022,firing_range-outdoor-s,11,11.0
328,scene,329,1006,herb_garden-s,11,11.0
329,scene,330,1051,cargo_container_interior-s,11,11.0
330,scene,331,1037,volleyball_court-outdoor-s,11,11.0
331,scene,332,1019,synagogue-outdoor-s,11,11.0
332,scene,333,1031,spa-massage_room-s,11,11.0
333,scene,334,1048,elevator_shaft-s,11,11.0
334,scene,335,1010,industrial_area-s,11,11.0
335,scene,336,1039,train_station-outdoor-s,11,11.0
336,scene,337,998,baseball_field-s,11,11.0
337,scene,338,1008,lagoon-s,11,11.0
338,scene,339,1023,barbershop-s,11,11.0
339,scene,340,1032,savanna-s,11,11.0
340,scene,341,994,lawn-s,11,11.0
341,scene,342,993,labyrinth-indoor-s,11,11.0
342,scene,343,1057,bullring-s,11,11.0
343,scene,344,1046,market-indoor-s,11,11.0
344,scene,345,1045,catwalk-s,11,11.0
345,scene,346,1024,cottage_garden-s,11,11.0
346,scene,347,1041,parking_garage-outdoor-s,11,11.0
347,scene,348,1030,elevator-freight_elevator-s,11,11.0
348,scene,349,1018,ice_skating_rink-outdoor-s,11,11.0
349,scene,350,1029,hat_shop-s,11,11.0
350,scene,351,1035,witness_stand-s,11,11.0
351,scene,352,1016,butchers_shop-s,11,11.0
352,scene,353,1054,lido_deck-outdoor-s,11,11.0
353,scene,354,1002,flight_of_stairs-urban-s,11,11.0
354,scene,355,1050,formal_garden-s,11,11.0
355,scene,356,996,escalator-outdoor-s,11,11.0
356,scene,357,1020,assembly_line-s,11,11.0
357,scene,358,1049,moon_bounce-s,11,11.0
358,scene,359,1001,hut-s,11,11.0
359,scene,360,1038,anechoic_chamber-s,11,11.0
360,scene,361,995,beach_house-s,11,11.0
361,scene,362,1044,driving_range-outdoor-s,11,11.0
362,scene,363,1042,food_court-s,11,11.0
363,scene,364,1005,mine-s,11,11.0
364,scene,365,1036,road_cut-s,11,11.0
365,scene,366,1053,airport_ticket_counter-s,11,11.0
366,scene,367,1026,industrial_park-s,11,11.0
367,scene,368,999,sun_deck-s,11,11.0
368,scene,369,1047,carport-freestanding-s,11,11.0
369,scene,370,1014,elevator-door-s,11,11.0
370,scene,371,1097,dining_hall-s,10,10.0
371,scene,372,1119,manhole-s,10,10.0
372,scene,373,1092,batters_box-s,10,10.0
373,scene,374,1109,checkout_counter-s,10,10.0
374,scene,375,1103,natural_history_museum-s,10,10.0
375,scene,376,1159,bullpen-s,10,10.0
376,scene,377,1161,junkyard-s,10,10.0
377,scene,378,1174,japanese_garden-s,10,10.0
378,scene,379,1101,granary-s,10,10.0
379,scene,380,1134,museum-outdoor-s,10,10.0
380,scene,381,1095,bazaar-outdoor-s,10,10.0
381,scene,382,1112,zen_garden-s,10,10.0
382,scene,383,1136,bedchamber-s,10,10.0
383,scene,384,1118,air_base-s,10,10.0
384,scene,385,1098,banquet_hall-s,10,10.0
385,scene,386,1179,cubicle-library-s,10,10.0
386,scene,387,1106,cabana-s,10,10.0
387,scene,388,1123,limousine_interior-s,10,10.0
388,scene,389,1086,chapel-s,10,10.0
389,scene,390,1096,hoodoo-s,10,10.0
390,scene,391,1152,building_complex-s,10,10.0
391,scene,392,1082,control_tower-indoor-s,10,10.0
392,scene,393,1167,canteen-s,10,10.0
393,scene,394,1151,cafeteria-s,10,10.0
394,scene,395,1163,cheese_factory-s,10,10.0
395,scene,396,1121,badminton_court-indoor-s,10,10.0
396,scene,397,1116,hot_tub-indoor-s,10,10.0
397,scene,398,1115,watering_hole-s,10,10.0
398,scene,399,1105,cottage-s,10,10.0
399,scene,400,1100,gulch-s,10,10.0
400,scene,401,1132,car_dealership-s,10,10.0
401,scene,402,1099,basketball_court-outdoor-s,10,10.0
402,scene,403,1085,choir_loft-exterior-s,10,10.0
403,scene,404,1160,archaelogical_excavation-s,10,10.0
404,scene,405,1177,jail-outdoor-s,10,10.0
405,scene,406,1173,earth_fissure-s,10,10.0
406,scene,407,1172,nunnery-s,10,10.0
407,scene,408,1130,convenience_store-indoor-s,10,10.0
408,scene,409,1171,bleachers-indoor-s,10,10.0
409,scene,410,1129,clean_room-s,10,10.0
410,scene,411,1157,funeral_chapel-s,10,10.0
411,scene,412,1124,backstairs-s,10,10.0
412,scene,413,1141,hedge_maze-s,10,10.0
413,scene,414,1114,gift_shop-s,10,10.0
414,scene,415,1143,aquatic_theater-s,10,10.0
415,scene,416,1110,labyrinth-outdoor-s,10,10.0
416,scene,417,1142,flight_of_stairs-natural-s,10,10.0
417,scene,418,1113,fishpond-s,10,10.0
418,scene,419,1169,drainage_ditch-s,10,10.0
419,scene,420,1135,fire_station-s,10,10.0
420,scene,421,1108,signal_box-s,10,10.0
421,scene,422,1164,lake-artificial-s,10,10.0
422,scene,423,1094,liquor_store-outdoor-s,10,10.0
423,scene,424,1147,newsstand-outdoor-s,10,10.0
424,scene,425,1175,fort-s,10,10.0
425,scene,426,1131,barnyard-s,10,10.0
426,scene,427,1127,brewery-outdoor-s,10,10.0
427,scene,428,1144,mission-s,10,10.0
428,scene,429,1166,hotel_breakfast_area-s,10,10.0
429,scene,430,1093,quadrangle-s,10,10.0
430,scene,431,1117,call_center-s,10,10.0
431,scene,432,1150,hangar-outdoor-s,10,10.0
432,scene,433,1087,jacuzzi-outdoor-s,10,10.0
433,scene,434,1111,bus_shelter-s,10,10.0
434,scene,435,1128,loading_dock-s,10,10.0
435,scene,436,1170,auto_mechanics-indoor-s,10,10.0
436,scene,437,1102,pilothouse-indoor-s,10,10.0
437,scene,438,1158,beer_garden-s,10,10.0
438,scene,439,1168,catacomb-s,10,10.0
439,scene,440,1148,football_field-s,10,10.0
440,scene,441,1154,bayou-s,10,10.0
441,scene,442,1153,covered_bridge-interior-s,10,10.0
442,scene,443,1120,joss_house-s,10,10.0
443,scene,444,1137,bistro-indoor-s,10,10.0
444,scene,445,1126,cardroom-s,10,10.0
445,scene,446,1088,hot_tub-outdoor-s,10,10.0
446,scene,447,1107,landing-s,10,10.0
447,scene,448,1104,bakery-kitchen-s,10,10.0
448,scene,449,1090,heliport-s,10,10.0
449,scene,450,1091,dirt_track-s,10,10.0
450,scene,451,1178,pub-outdoor-s,10,10.0
451,scene,452,1176,circus_tent-outdoor-s,10,10.0
452,scene,453,1162,bank_vault-s,10,10.0
453,scene,454,1089,imaret-s,10,10.0
454,scene,455,1146,basketball_court-indoor-s,10,10.0
455,scene,456,1084,liquor_store-indoor-s,10,10.0
456,scene,457,1145,lean-to-s,10,10.0
457,scene,458,1083,mausoleum-s,10,10.0
458,scene,459,1140,rubble-s,10,10.0
459,scene,460,1156,hunting_lodge-indoor-s,10,10.0
460,scene,461,1138,butte-s,10,10.0
461,scene,462,1155,throne_room-s,10,10.0
462,scene,463,1139,field_road-s,10,10.0
463,scene,464,1133,tearoom-s,10,10.0
464,scene,465,1165,florist_shop-outdoor-s,10,10.0
465,scene,466,1125,moat-dry-s,10,10.0
466,scene,467,1149,freeway-s,10,10.0
467,scene,468,1122,fjord-s,10,10.0
468,object,1,12,wall,15553,3945.14338084
469,object,2,13,sky,12271,2944.38023646
470,object,3,14,floor,12133,1653.08197034
471,object,4,16,tree,10551,1706.83981414
472,object,5,18,building,9722,2845.74889456
473,object,6,19,person,9520,1169.76052271
474,object,7,25,ceiling,7812,974.2406251580001
475,object,8,27,table,6246,386.748259978
476,object,9,15,windowpane,5904,494.282916549
477,object,10,31,road,5500,1042.16066597
478,object,11,33,grass,5390,1039.16734516
479,object,12,36,chair,4935,373.54698740099997
480,object,13,38,car,4743,431.686181156
481,object,14,35,plant,4546,261.858410814
482,object,15,40,painting,4285,178.18676191900002
483,object,16,23,door,3778,246.059302363
484,object,17,43,sidewalk,3754,324.949218382
485,object,18,46,light,3687,28.1446799863
486,object,19,45,cabinet,3677,429.004371499
487,object,20,47,signboard,3540,53.115656763800004
488,object,21,50,lamp,3386,48.0362739896
489,object,22,52,ground,2987,626.7216312730001
490,object,23,54,curtain,2747,251.047719585
491,object,24,55,pole,2651,35.108332280300004
492,object,25,56,mountain,2579,440.339062615
493,object,26,57,fence,2544,178.99495830700002
494,object,27,60,streetlight,2227,12.8302321777
495,object,28,61,bed,2133,471.717648214
496,object,29,63,sofa,2128,328.416826908
497,object,30,65,box,2034,72.649072265
498,object,31,68,earth,1997,340.336238003
499,object,32,70,bottle,1900,75.6948761483
500,object,33,75,water,1676,452.88334361
501,object,34,77,cushion,1675,51.7267914069
502,object,35,78,book,1641,49.5266154829
503,object,36,79,flower,1636,47.637385319799996
504,object,37,72,shelf,1538,152.023114285
505,object,38,41,carpet,1467,127.497966353
506,object,39,48,mirror,1433,102.39217258299999
507,object,40,88,vase,1403,6.87925317872
508,object,41,90,flowerpot,1332,8.89697495871
509,object,42,91,sink,1327,39.6325741962
510,object,43,93,dog,1309,305.735526612
511,object,44,95,armchair,1270,84.6931320671
512,object,45,85,rock,1250,129.928775543
513,object,46,97,wall socket,1236,1.5163463589700001
514,object,47,100,sconce,1128,6.73342210947
515,object,48,101,pillow,1094,35.3454906705
516,object,49,105,cat,1023,335.397930109
517,object,50,104,stairs,983,33.8634443083
518,object,51,89,pot,962,13.998437213099999
519,object,52,107,plate,957,22.2465217645
520,object,53,76,railing,934,55.513065552200004
521,object,54,24,fabric,932,80.11098211619999
522,object,55,111,clock,929,4.8295160566
523,object,56,112,bag,921,19.3989921275
524,object,57,113,pillar,887,48.9125499805
525,object,58,115,bicycle,886,92.84340285450001
526,object,59,118,coffee table,867,25.9164531565
527,object,60,119,ashcan,862,8.446664477010001
528,object,61,121,bench,843,39.2149215702
529,object,62,122,spotlight,822,4.3830945418
530,object,63,123,boat,797,100.196552786
531,object,64,124,basket,786,15.554114809300001
532,object,65,125,work surface,764,39.615284744600004
533,object,66,127,desk,759,74.22468867890001
534,object,67,109,bowl,745,6.78557502645
535,object,68,128,bird,743,83.1151241845
536,object,69,131,house,736,148.04508139200001
537,object,70,132,plaything,734,31.0044975686
538,object,71,135,sea,707,183.592779
539,object,72,71,paper,691,16.819365824000002
540,object,73,138,television,671,14.0704009252
541,object,74,141,chandelier,642,14.6448029842
542,object,75,145,pottedplant,625,74.3215213447
543,object,76,146,path,625,41.1080963864
544,object,77,148,cup,619,11.318867035
545,object,78,147,stairway,616,39.590748186300004
546,object,79,144,switch,616,0.6357282427759999
547,object,80,149,van,612,12.161010255599999
548,object,81,116,stove,609,25.571815364699997
549,object,82,153,truck,605,25.4733207629
550,object,83,154,airplane,597,103.947443921
551,object,84,155,awning,597,17.477517359500002
552,object,85,152,chest of drawers,595,38.290541947
553,object,86,156,traffic light,593,5.380584160009999
554,object,87,86,seat,590,107.815242461
555,object,88,160,poster,583,25.2705676604
556,object,89,161,flag,577,6.992711719560001
557,object,90,163,drinking glass,561,4.70603464975
558,object,91,164,telephone,557,3.3486366154500002
559,object,92,165,towel,544,16.4053811638
560,object,93,167,rope,540,7.78217533532
561,object,94,168,tvmonitor,536,82.1328088079
562,object,95,169,bush,535,62.8342197573
563,object,96,170,bucket,531,10.0760203837
564,object,97,172,field,524,151.870080349
565,object,98,173,stool,523,11.2977114622
566,object,99,174,tray,518,8.359167468130002
567,object,100,157,bannister,509,15.623279591
568,object,101,176,fireplace,508,31.627066306
569,object,102,178,trade name,501,9.06985399942
570,object,103,17,wood,487,40.0981936641
571,object,104,182,fan,481,6.029547932409999
572,object,105,183,horse,480,99.115057762
573,object,106,184,motorbike,471,116.03202158299999
574,object,107,185,train,465,132.375781432
575,object,108,175,pedestal,448,56.0972357083
576,object,109,188,shelves,448,34.249095420100005
577,object,110,189,bathtub,446,47.3571448365
578,object,111,190,toilet,446,25.1848663194
579,object,112,191,refrigerator,445,34.0908706229
580,object,113,195,counter,434,48.4958401205
581,object,114,197,wardrobe,426,67.750146469
582,object,115,94,food,425,27.1374310125
583,object,116,198,candlestick,422,1.9453582643400003
584,object,117,199,computer,412,30.195256247800003
585,object,118,136,double door,409,33.0425774668
586,object,119,200,palm,405,25.5898176798
587,object,120,203,bus,399,131.1436552
588,object,121,204,board,399,23.542621907199997
589,object,122,205,blind,395,21.4850068712
590,object,123,207,microwave,387,9.01556439905
591,object,124,208,sand,386,74.17943156
592,object,125,209,track,381,39.4445015333
593,object,126,210,fluorescent,380,4.7553426007
594,object,127,212,sculpture,378,13.5215631001
595,object,128,214,countertop,361,21.3656162424
596,object,129,216,swivel chair,357,25.005691389299997
597,object,130,224,snow,351,79.7823310931
598,object,131,225,river,346,60.4087248059
599,object,132,226,air conditioner,346,2.4128504639400004
600,object,133,228,ottoman,338,11.825523445899998
601,object,134,229,jar,338,4.129294107230001
602,object,135,211,step,333,17.2276235119
